Fr	a	b	phi
15	1	2	0.523598775598299
20	1.5	4	0.384396774495639
30	1.3	6	0.2183987279556
46	0	6	0
70	1.7	6	0.287268098420794
100	3.2	6	0.562536244543856
200	5.2	6	1.04848150498885
250	6.5	7	1.19054512010196
380	7	7	1.5707963267949
800	6	7	1.02969680083775
1500	4.3	7	0.661480438130831
3000	2.5	7	0.365207221290367
5000	1	7	0.143347568905365
25000	0.4	7	0.057174001080663
