R	Uin	Uout	b	a	k	phi	dphi	dk	tanphi	tanphipo
0	1	1	4	0	1	0	0.025	0.01	0	0
20	1	1	7	1.8	1	0.260064472714393	0.014782576503619	0.01	0.266090578195087	0.130770105491608
40	1	1	7	3.3	1	0.490909949347709	0.016197474311621	0.01	0.534557547125344	0.250506141327194
60	1	1	7	4.8	1	0.755584581642467	0.019619873469338	0.01	0.942082406374631	0.396855066428584
80	1	1	7	5.4	1	0.881083172824285	0.022433710978521	0.01	1.21233578868073	0.471442316617775
100	1	1	7	6.2	1	1.08803040346916	0.030665198101603	0.01	1.90791811017966	0.604900748088003
120	1	1	7	6.6	1	1.23110375062755	0.04224483241693	0.01	2.8297266548514	0.707215036676042
140	1	1	7	6.8	1	1.33117775816581	0.056778688418123	0.01	4.09311900491615	0.785099298149468
