Fr	Uin	Uout	b	a	k	phi	dphi	dk	tanphi	tanphipo	theory
10	1	1	4	0.9	1	0.22694303617852	0.025655085997593	0.01	0.230921102605853	0.113961051132205	0.131943
15	1	1	4	1.6	1	0.411516846067488	0.027265163607036	0.01	0.436435780471985	0.20871215252208	0.1979145
40	1	1	4	3.3	1	0.970202199928846	0.043671891951033	0.01	1.45983405217257	0.527111845123799	0.527772
60	1	1	4	3.8	1	1.25323589750338	0.068382152798653	0.01	3.04243492229665	0.723947473768505	0.791658
65	1	1	4	4	1	1.5707963267949	0	0.01	1.63312393531954E+016	1	0.8576295
100	1	1	4	3.6	1	2.02173048500137	0.054994491781525	0.01	-2.06522934861722	1.59526898073798	1.31943
200	1	1	4	2.7	1	2.40053529779698	0.033782413940818	0.01	-0.915030315422962	2.57419143081452	2.63886
400	1	1	4	1.4	1	2.78392889635449	0.026679736942906	0.01	-0.373737950670772	5.53210607423216	5.27772
