Fr	Uin	Uout	b	a	k	phi	dphi	dk	tanphi
10	7.06	3.538	7	0.4	0.501133144475921	0.057174001080663	0.014309085381934	0.001063125456428	0.057236380703214
15	7.111	3.5869	7	0.5	0.504415693995219	0.071489449885521	0.01432228210715	0.001057808813103	0.071611487403943
20	7.126	3.6153	7	0.6	0.507339320797081	0.085819590505896	0.01433846110351	0.001057633539712	0.086030900201461
25	7.131	3.6387	7	0.7	0.510265039966344	0.10016742116156	0.014357652568769	0.001058943373977	0.100503781525921
30	7.127	3.657	7	0.75	0.513119124456293	0.107348916101869	0.01436838901091	0.001061540005933	0.107763181216065
40	7.12	3.6978	7	0.9	0.51935393258427	0.128928317217763	0.014405223178365	0.001066962031309	0.129647470036337
100	7.066	3.9881	7	1.5	0.564407019530144	0.215960498684956	0.014625294845634	0.001106996192705	0.219381727238139
200	7.129	4.6	7	2	0.645251788469631	0.289751701436047	0.014906819388035	0.001153914846731	0.298142396999972
300	7.086	5.107	7	2.1	0.720716906576348	0.304692654015397	0.014975158742078	0.001214166600745	0.314485451016575
400	7.045	5.507	7	2.1	0.781689141234918	0.304692654015397	0.014975158742078	0.001264506132885	0.314485451016575
350	7.058	5.318	7	2.1	0.753471238311136	0.304692654015397	0.014975158742078	0.001242187048959	0.314485451016575
450	7.026	5.559	7	1.9	0.791204099060632	0.274877015403868	0.01484267382434	0.001274696910803	0.282015844892115
500	7.012	5.789	7	1.9	0.825584711922419	0.274877015403868	0.01484267382434	0.001301757495666	0.282015844892115
550	6.991	5.916	7	1.7	0.846230868259191	0.24531008984732	0.014726393984129	0.001320434035373	0.250352170083023
600	6.98	6.005	7	1.7	0.860315186246418	0.24531008984732	0.014726393984129	0.001332604001609	0.250352170083023
800	6.942	6.272	7	1.4	0.903486027081533	0.201357920790331	0.014580164306077	0.001370992528869	0.204124145231931
1000	6.922	6.432	7	1.2	0.929211210632765	0.172279523728021	0.014500275569205	0.001393535979943	0.174004437169722
1500	7.059	6.761	7	0.9	0.957784388723615	0.128928317217763	0.014405223178365	0.001386729273781	0.129647470036337
3000	7.031	6.895	7	0.5	0.980657090029868	0.071489449885521	0.01432228210715	0.001408517344638	0.071611487403943
6000	6.996	6.905	7	0.3	0.986992567181246	0.042870273246237	0.014298846430412	0.001420091886207	0.042896555759328
12000	7.06	6.978	7	0.1	0.988385269121813	0.014286200238993	0.014287171627378	0.001408204864817	0.014287172234821
