Fr	Uin	Uout	b	a	k	phi	dphi	dk	tanphi
15	6.603	6.284	7	0.1	0.951688626381948	0.014286200238993	0.014287171627378	0.001477880225944	0.014287172234821
30	6.626	6.304	7	0.1	0.951403561726532	0.014286200238993	0.014287171627378	0.001472535135622	0.014287172234821
200	6.657	6.332	7	0.2	0.951179209854289	0.028575317269293	0.014291546328382	0.001465509396015	0.028583097523752
300	6.642	6.311	7	0.3	0.950165612767239	0.042870273246237	0.014298846430412	0.001468056016838	0.042896555759328
400	6.624	6.279	7	0.4	0.947916666666667	0.057174001080663	0.014309085381934	0.001470347725443	0.057236380703214
800	6.575	6.175	7	0.7	0.939163498098859	0.10016742116156	0.014357652568769	0.001474649047984	0.100503781525921
1000	6.564	6.123	7	0.9	0.932815356489945	0.128928317217763	0.014405223178365	0.001472284701775	0.129647470036337
2000	6.707	5.96	7	1.4	0.888623825853586	0.201357920790331	0.014580164306077	0.001407949773262	0.204124145231931
5000	6.718	4.917	7	2.2	0.731914260196487	0.319704148662747	0.015047850543463	0.001289010315716	0.331061095985865
8000	6.729	4.2718	7	2.35	0.634834299301531	0.342363421915331	0.015165431496086	0.001214767646977	0.35639826436888
10000	6.736	4.0864	7	2.2	0.606650831353919	0.319704148662747	0.015047850543463	0.00119258523705	0.331061095985865
20000	6.816	3.5975	7	2	0.527802230046948	0.289751701436047	0.014906819388035	0.001120746941056	0.298142396999972
